"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000097346.1",7,5,4,5,4,2,5,2,7,0,8,2,1,5,4,2,3,9,0,2
"ENSMUSG00000069117.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021662.9",4942,6130,8303,9387,8803,8397,6801,5412,8601,2794,3071,1187,2399,3141,1627,1354,2555,2834,1464,1240
"ENSMUSG00000041747.2",587,713,1188,1152,1081,1051,997,693,1218,1203,1386,525,949,1372,692,569,1263,1229,546,542
"ENSMUSG00000021661.15",575,612,1079,933,987,960,919,735,1059,1305,1707,563,1061,1569,731,736,1395,1542,615,632
"ENSMUSG00000096330.7",1,1,6,2,8,6,3,4,16,5,17,2,7,9,2,4,6,6,4,4
"ENSMUSG00000021660.14",1018,1091,1952,1504,1655,1866,1839,1406,2073,2915,3942,1193,2467,3529,1706,1527,3017,3492,1477,1369
"ENSMUSG00000048603.8",123,153,247,180,213,211,232,180,268,247,296,112,190,252,146,125,229,282,133,101
"ENSMUSG00000078302.4",42,59,77,35,38,39,44,30,44,24,139,11,17,62,21,11,19,53,16,21
"ENSMUSG00000098113.1",16,32,38,44,48,50,20,20,27,7,4,5,2,4,6,3,5,3,9,5
"ENSMUSG00000099446.1",0,0,1,0,0,0,0,0,1,0,2,0,0,2,1,0,0,1,0,3
"ENSMUSG00000100416.1",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000092116.1",20,29,39,47,41,25,28,22,31,2,5,3,0,4,4,2,0,4,1,4
"ENSMUSG00000104430.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093116.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046082.4",4,1,1,3,1,2,3,0,17,15,12,0,8,9,2,1,6,6,1,1
"ENSMUSG00000052485.7",19,20,28,21,23,10,33,9,35,25,26,11,11,12,8,11,23,33,12,10
"ENSMUSG00000041685.15",441,542,955,657,984,871,690,650,881,1500,1783,730,1174,1929,960,774,1632,1769,798,713
"ENSMUSG00000009470.16",1486,1581,3555,2973,3119,3018,2836,2121,3060,2212,2685,1068,1798,2761,1303,1178,2432,2516,1224,1185
"ENSMUSG00000062461.7",48,34,105,84,80,68,99,81,85,0,3,0,4,2,0,4,4,3,2,2
"ENSMUSG00000045022.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089488.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000100410.1",0,1,0,4,0,0,1,3,1,5,2,1,1,2,2,1,2,1,1,4
"ENSMUSG00000097848.1",3,0,2,3,9,9,14,6,8,3,5,6,2,13,1,1,0,5,1,2
"ENSMUSG00000050919.8",57,60,132,121,134,105,98,48,89,56,69,37,54,95,36,37,72,55,35,26
"ENSMUSG00000021650.6",461,491,898,732,751,773,792,537,842,1109,1297,498,850,1343,591,593,1076,1165,553,530
"ENSMUSG00000041632.5",254,282,416,393,396,478,417,299,447,843,983,396,605,877,419,396,830,843,374,358
"ENSMUSG00000097828.1",12,15,34,28,29,11,13,13,17,50,77,21,59,65,30,25,65,55,43,38
"ENSMUSG00000052727.5",76136,86844,110551,98125,129914,99599,109763,69572,119306,33126,36592,14969,26471,35810,18411,15743,33357,35274,15966,14561
"ENSMUSG00000097027.1",27,43,50,31,31,37,43,17,30,29,24,9,28,22,13,12,17,23,11,17
"ENSMUSG00000103545.1",3,2,0,3,2,3,6,4,11,0,0,1,0,0,0,0,0,0,0,1
"ENSMUSG00000077673.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021647.6",71,58,86,48,61,73,57,43,68,82,96,20,51,71,37,22,71,56,38,46
"ENSMUSG00000021646.9",614,608,1081,1038,1011,956,908,663,1059,856,967,337,611,984,440,377,769,876,395,389
"ENSMUSG00000049658.13",1008,1127,2507,1803,2234,2117,1879,1485,2217,838,999,385,744,1054,512,442,974,990,462,391
"ENSMUSG00000097022.2",2,4,2,0,3,2,6,4,3,6,3,0,3,1,1,1,3,0,2,2
"ENSMUSG00000021643.14",60,48,107,75,93,97,110,62,78,158,232,71,121,198,81,94,165,173,91,81
"ENSMUSG00000021645.16",239,213,307,283,335,265,284,167,327,498,527,213,387,551,269,239,507,624,255,258
"ENSMUSG00000078945.10",14,27,46,44,51,28,41,59,61,44,63,17,30,54,21,24,38,37,19,25
"ENSMUSG00000113292.1",0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071203.6",17,20,30,21,36,17,19,35,22,71,84,25,49,76,29,45,57,68,26,38
"ENSMUSG00000078942.10",13,13,28,10,18,20,24,11,11,16,30,9,22,25,20,17,25,22,8,13
"ENSMUSG00000082956.4",0,0,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112978.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000021640.6",2,2,16,7,4,10,3,11,7,19,16,8,11,14,15,8,20,14,4,7
"ENSMUSG00000051723.7",2,0,2,2,1,0,0,2,1,1,2,0,1,1,0,0,0,0,2,2
"ENSMUSG00000021639.16",376,360,685,610,672,589,614,383,645,1015,1184,464,846,1242,582,580,1047,1178,556,461
"ENSMUSG00000113596.1",4,9,10,6,0,5,4,1,4,6,8,0,4,7,1,1,4,7,0,2
"ENSMUSG00000021638.12",344,349,798,571,667,611,614,493,635,484,654,234,381,728,320,326,527,608,310,292
"ENSMUSG00000021636.14",22,27,35,37,39,47,37,10,49,47,62,15,39,78,26,27,53,50,39,29
"ENSMUSG00000065678.1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000021635.13",241,252,572,502,457,502,530,384,536,605,732,255,505,841,348,331,706,726,366,320
"ENSMUSG00000078941.9",86,75,148,148,140,125,136,91,134,206,321,125,183,302,143,129,245,253,126,101
"ENSMUSG00000052293.14",6,2,16,5,3,2,2,7,9,6,7,3,5,12,7,3,13,13,5,2
"ENSMUSG00000048924.13",9,22,44,22,19,36,24,17,21,37,57,26,21,57,18,19,40,44,21,28
"ENSMUSG00000069089.7",1433,1653,3113,3293,2750,2734,2378,1673,3097,1779,1910,785,1328,2046,1026,860,1844,1879,892,865
"ENSMUSG00000061474.11",209,201,314,263,299,260,310,214,299,375,446,143,275,459,192,169,312,377,204,166
"ENSMUSG00000045273.8",6,6,8,11,10,4,8,12,14,10,18,11,22,25,10,11,25,14,7,2
"ENSMUSG00000085340.1",0,9,4,0,4,5,7,5,0,2,0,0,0,0,2,0,2,0,0,0
"ENSMUSG00000041431.16",10,12,21,19,21,22,23,19,16,5,13,4,9,22,5,3,9,13,5,8
"ENSMUSG00000021629.9",1751,1857,2744,2685,3035,2715,2552,1847,2954,1556,1977,695,1328,2091,918,840,1737,1804,846,797
"ENSMUSG00000100596.1",6,4,12,2,21,13,8,4,23,15,15,7,16,13,13,10,22,13,7,7
"ENSMUSG00000104450.1",1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096789.1",17,11,25,27,21,12,15,33,23,3,4,1,3,2,9,2,3,4,3,7
"ENSMUSG00000098005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096722.1",3,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000100733.2",0,0,1,0,0,0,3,0,0,2,1,0,2,1,1,0,1,1,1,0
"ENSMUSG00000103437.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099774.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041417.15",2883,3197,6432,5164,5439,5078,4603,3569,5313,3345,3839,1489,2613,3800,1853,1530,3712,3023,1644,1513
"ENSMUSG00000104214.1",44,56,68,32,38,27,26,18,40,0,1,1,2,2,3,1,1,3,0,4
"ENSMUSG00000102635.1",9,21,9,11,14,6,7,15,10,0,0,1,2,0,0,0,0,1,0,0
"ENSMUSG00000102542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084733.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021624.9",32,44,37,31,33,44,32,35,37,97,121,29,70,100,58,53,84,116,55,45
"ENSMUSG00000034751.16",3128,4158,5356,5362,6602,4590,4559,3026,4989,2984,2983,1279,2434,3387,1521,1294,2598,2671,1349,1154
"ENSMUSG00000091906.2",13,2,10,4,7,7,2,2,4,0,2,3,2,2,1,2,1,2,0,0
