"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000039105.6",1361,1309,2442,2295,2113,2395,2081,1517,2526,2403,2942,946,1724,2950,1202,1161,2398,2651,1143,1038
"ENSMUSG00000045917.17",947,824,1262,1135,1315,1075,1096,770,1187,448,499,207,337,601,245,224,490,500,229,197
"ENSMUSG00000083943.1",4,3,5,1,1,1,0,1,0,2,0,0,0,0,0,1,1,1,0,0
"ENSMUSG00000065913.1",0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000084782.2",0,0,2,0,1,5,3,4,0,0,0,0,3,3,0,0,2,0,2,0
"ENSMUSG00000058935.14",0,0,3,0,1,1,2,2,0,2,2,2,3,6,3,3,5,2,0,1
"ENSMUSG00000077504.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086817.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099294.1",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"ENSMUSG00000050395.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028362.2",0,0,0,2,6,0,2,3,0,4,6,0,1,1,0,0,1,1,1,3
"ENSMUSG00000084345.3",54,29,78,72,75,88,50,73,92,0,1,0,2,1,0,2,1,0,0,1
"ENSMUSG00000028364.15",598,839,1171,1095,922,1003,836,426,872,258,362,67,200,238,172,133,278,260,107,96
"ENSMUSG00000073821.11",0,0,2,0,6,3,1,2,0,5,7,1,3,4,4,2,6,2,4,5
"ENSMUSG00000086755.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085032.1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077214.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081941.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080805.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028370.7",91,87,203,120,169,146,119,94,140,30,43,13,34,54,20,14,32,28,17,22
"ENSMUSG00000028373.16",1966,2949,3713,4260,3672,3139,3078,1722,4357,1313,1382,473,893,1417,606,527,1339,1211,552,469
"ENSMUSG00000051675.13",12246,12583,16205,17407,18126,16906,15233,9635,17800,7291,8145,2978,5707,8305,3939,3382,7564,7650,3346,3157
"ENSMUSG00000083080.1",1,2,1,2,2,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065151.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082053.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039005.13",22,32,55,41,49,60,59,33,47,15,56,21,25,45,20,21,19,26,13,19
"ENSMUSG00000081435.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080815.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106523.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083087.1",13,9,16,24,23,24,16,16,24,3,0,1,1,2,1,2,1,1,0,3
"ENSMUSG00000086364.1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064762.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081231.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086790.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028351.5",9503,8840,15425,14689,15843,14291,15324,9836,16166,8978,9950,3305,7472,10508,4683,4315,8637,10439,4119,3687
"ENSMUSG00000065815.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082553.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082998.3",1,5,13,6,5,5,3,11,7,0,1,1,2,3,2,3,0,1,2,1
"ENSMUSG00000085627.2",6,4,18,20,12,13,12,13,15,1,0,1,0,0,1,2,1,0,0,0
"ENSMUSG00000046341.5",159,177,339,360,288,284,238,151,323,76,78,59,52,73,75,71,71,59,62,67
"ENSMUSG00000084342.1",17,21,27,24,44,27,28,22,44,1,3,4,2,1,4,2,1,1,2,3
"ENSMUSG00000082368.1",1,0,1,3,2,2,2,0,0,0,0,0,0,0,3,1,0,1,0,0
"ENSMUSG00000039298.16",905,1042,2013,1655,1673,1387,1275,1136,1607,997,1213,441,840,1249,694,543,1046,1204,609,502
"ENSMUSG00000080902.1",14,31,47,52,46,49,43,68,41,1,9,2,3,12,4,8,2,3,7,7
"ENSMUSG00000088367.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039270.9",4238,4478,7735,6673,8714,6947,7432,5147,7758,6390,7020,2883,5202,6904,3677,3346,6476,6844,3261,2988
"ENSMUSG00000083549.1",0,1,1,5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084937.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000082017.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083914.3",14,17,44,22,36,36,37,32,41,0,3,2,2,1,0,1,1,4,1,1
"ENSMUSG00000082432.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066141.2",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"ENSMUSG00000081117.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086696.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000008305.18",3323,3759,5702,5775,5590,4933,5343,3432,6035,2459,2947,1003,2086,3123,1356,1246,2611,3689,1391,1125
"ENSMUSG00000086027.1",6,8,1,5,1,7,4,3,0,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000084910.1",80,144,233,185,251,217,225,178,306,257,282,116,213,303,150,140,245,373,138,137
"ENSMUSG00000083372.1",11,4,8,12,8,8,4,7,5,2,1,0,1,1,2,2,5,0,1,2
"ENSMUSG00000059343.4",372,414,475,470,551,552,420,330,490,26,36,26,20,27,17,25,20,17,29,19
"ENSMUSG00000084173.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089098.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084162.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089194.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066137.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080222.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082566.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081871.1",12,22,34,26,31,26,25,25,35,4,5,5,6,4,4,5,12,9,8,3
"ENSMUSG00000077312.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095935.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094116.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096700.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095048.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095341.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043003.14",8,0,4,1,7,6,1,1,0,2,4,2,1,3,2,3,1,6,1,4
"ENSMUSG00000085034.1",0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0
"ENSMUSG00000083530.1",0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0
"ENSMUSG00000096530.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096750.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096333.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093962.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028396.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049122.17",64,59,157,98,122,138,88,88,98,134,170,48,110,146,87,80,197,106,54,73
"ENSMUSG00000081048.1",4,2,3,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000083767.1",7,4,4,2,9,3,7,6,1,3,5,4,1,2,4,0,3,1,3,2
"ENSMUSG00000028397.13",780,929,1741,1337,1528,1464,1439,1109,1756,1172,1452,545,959,1451,716,615,1285,1381,651,542
"ENSMUSG00000085482.1",4,9,5,4,9,7,14,1,5,3,9,4,3,9,3,2,7,8,3,1
"ENSMUSG00000099334.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104700.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081438.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083659.1",1,5,7,1,3,7,4,4,1,1,0,0,0,1,0,0,0,1,1,0
"ENSMUSG00000082533.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084311.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081067.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000028398.8",602,590,962,842,923,935,922,552,943,590,760,245,516,772,358,312,632,805,303,324
"ENSMUSG00000065884.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083224.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084026.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000084253.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081844.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028399.18",4137,4487,9420,7235,9110,7216,6922,5685,8331,5571,5801,2354,4300,6107,2986,2901,5696,4982,2517,2647
"ENSMUSG00000080780.1",1,4,21,3,17,13,4,0,12,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110373.1",25,37,49,44,56,29,26,37,43,32,36,14,29,44,10,13,34,26,11,13
"ENSMUSG00000083050.1",4,24,40,19,33,18,11,7,20,0,1,0,0,0,0,0,0,1,1,0
"ENSMUSG00000081890.1",0,0,3,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081936.1",1,2,1,0,6,5,2,1,4,0,1,0,0,1,0,0,0,0,0,0
"ENSMUSG00000084090.1",1,17,24,3,13,17,8,4,8,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000081656.1",4,4,14,11,6,9,9,4,8,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000092829.1",2,4,4,2,0,3,2,2,3,0,1,0,0,0,0,0,1,0,1,0
"ENSMUSG00000092492.1",24,25,41,20,37,8,20,13,36,70,54,18,32,37,21,8,58,44,18,38
"ENSMUSG00000082351.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085840.1",2,0,4,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089338.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083629.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089543.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083496.1",47,24,59,52,69,53,57,35,65,2,0,3,1,4,4,2,1,3,7,7
"ENSMUSG00000084248.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082179.1",19,23,29,30,22,24,15,12,23,9,17,3,10,11,2,4,7,7,9,5
"ENSMUSG00000083076.1",11,23,6,15,14,19,12,7,23,2,4,1,5,9,4,4,1,2,2,2
"ENSMUSG00000083219.1",17,43,53,26,65,27,45,18,32,2,8,3,5,7,3,3,3,6,1,3
"ENSMUSG00000082555.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000005994.14",1,1,2,3,4,10,6,3,4,11,57,4,6,11,8,7,7,12,0,5
"ENSMUSG00000048706.3",733,925,1377,1643,1842,1597,1808,1051,1814,981,1132,543,865,1277,536,487,1036,1459,552,394
"ENSMUSG00000099273.1",3,3,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028402.18",3496,3725,6814,5160,5920,5624,6003,4357,6647,3626,4108,1663,2781,3830,2199,1839,3536,3937,2010,1906
"ENSMUSG00000077607.1",3,0,5,1,4,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081391.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083385.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087540.1",2,0,5,3,0,0,3,1,1,1,0,1,0,1,1,1,2,1,0,0
"ENSMUSG00000084718.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087608.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087110.1",0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,2
"ENSMUSG00000092661.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085022.2",1,6,13,5,11,4,5,3,5,7,12,2,11,8,7,4,8,12,4,1
"ENSMUSG00000008575.17",5638,6779,11199,7780,10963,9322,8812,6125,10661,4898,6065,2350,4275,5673,2994,2828,5097,6372,2687,2450
"ENSMUSG00000084595.1",4,7,11,10,9,2,5,2,10,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087413.1",36,44,113,66,81,60,80,47,65,202,271,85,174,193,125,116,216,218,122,87
"ENSMUSG00000084851.1",2,4,7,4,3,3,3,3,8,2,2,1,2,0,0,1,1,1,1,1
"ENSMUSG00000084357.1",1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086293.1",1,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028403.15",1115,1161,2325,1748,2302,2014,1989,1311,2361,1804,2112,784,1512,2074,994,957,1942,1897,881,883
"ENSMUSG00000038192.5",0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,1,1,0,0
"ENSMUSG00000059049.14",98,130,708,188,292,553,397,466,210,169,400,60,147,586,175,165,195,170,198,142
"ENSMUSG00000089409.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082637.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083245.1",31,36,47,49,34,40,39,27,44,7,4,0,2,4,2,4,1,2,3,2
"ENSMUSG00000038172.14",1071,1496,2488,2440,2647,2314,2126,1540,2726,1690,1971,712,1271,2069,881,864,1595,1486,771,858
"ENSMUSG00000096801.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086321.1",0,1,4,6,1,7,5,4,4,5,7,3,6,3,3,4,8,6,3,3
"ENSMUSG00000087592.1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000028483.13",565,678,1231,966,1116,1007,989,702,1140,964,1191,465,787,1147,613,564,1026,1158,534,491
"ENSMUSG00000028484.16",2806,2637,5172,4029,4347,4334,4274,3571,5311,7396,8703,3436,5669,8523,4307,3946,7392,8881,4006,3706
"ENSMUSG00000082416.1",5,0,0,1,4,0,1,0,3,3,2,0,0,0,1,0,1,1,2,1
"ENSMUSG00000066116.3",62,60,109,117,109,89,80,87,94,3,2,1,1,2,0,2,1,2,1,3
"ENSMUSG00000052407.16",111,110,254,195,194,224,209,186,270,178,182,58,115,200,94,73,158,154,81,100
"ENSMUSG00000064606.1",2,0,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098217.1",0,0,1,0,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080793.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000097942.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085378.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"ENSMUSG00000085217.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083044.1",47,64,92,78,92,85,78,25,92,16,20,14,13,21,18,13,14,16,12,13
"ENSMUSG00000087378.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028487.18",14,20,48,21,29,18,28,33,24,1,10,0,0,4,1,1,2,4,2,2
"ENSMUSG00000083743.1",0,0,0,0,2,0,1,4,1,1,0,0,0,1,0,0,1,2,0,0
"ENSMUSG00000081775.1",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000086413.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038070.15",328,338,722,485,613,504,550,478,673,558,745,242,425,675,341,318,584,694,312,271
"ENSMUSG00000083139.1",1,6,10,19,9,7,6,6,5,4,1,2,1,5,2,5,2,2,5,2
"ENSMUSG00000080303.2",3,2,3,9,6,2,6,1,3,0,1,0,1,0,1,1,0,0,3,1
"ENSMUSG00000084267.1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000028488.15",2621,2986,4087,3992,5327,4520,3962,2259,4691,13603,15729,5847,10348,14987,7560,6446,13323,14102,6540,5852
"ENSMUSG00000081862.1",3,3,26,6,6,6,6,3,2,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000066113.16",705,598,1170,1000,984,870,813,724,872,563,597,217,381,594,314,251,468,466,293,292
"ENSMUSG00000088122.2",0,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000064687.1",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083272.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000028492.13",0,0,2,0,0,4,0,0,0,2,4,0,3,0,0,1,2,2,1,1
"ENSMUSG00000077597.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085108.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070934.6",1322,1321,1854,1866,2098,1828,1924,1295,2191,4098,4638,1654,3052,4576,2241,1893,3778,4357,1965,1828
"ENSMUSG00000038047.18",156,174,383,279,343,302,281,244,374,359,396,152,255,475,238,168,370,380,190,186
"ENSMUSG00000088958.1",0,0,5,2,3,3,7,1,0,1,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000081169.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028494.12",107,144,291,266,226,230,233,152,220,171,260,65,135,295,96,91,177,218,96,102
"ENSMUSG00000038024.17",434,496,1066,728,859,821,787,647,792,428,526,169,348,537,288,247,425,453,245,253
"ENSMUSG00000082969.1",8,11,24,7,9,15,6,15,20,8,11,1,8,8,2,3,8,3,0,10
"ENSMUSG00000028495.14",2660,2527,4416,3801,4631,4274,4374,3146,5061,4242,5166,1721,3185,5007,2181,2118,3917,5027,2125,1940
"ENSMUSG00000038007.14",151,163,271,404,389,261,384,236,269,181,328,91,161,291,124,118,242,271,80,120
"ENSMUSG00000037996.17",20278,23160,37826,34641,42469,36256,35122,25067,39695,19084,22847,8928,16489,22112,11215,10203,20071,21896,9754,8877
"ENSMUSG00000086512.1",1,1,1,2,1,5,0,1,7,14,15,6,5,11,3,7,11,11,1,4
"ENSMUSG00000093065.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082443.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ENSMUSG00000028496.17",920,1035,1920,1534,1705,1642,1447,1111,1858,1590,1879,702,1337,1773,924,772,1776,1794,866,724
"ENSMUSG00000084809.1",1,3,4,0,3,3,1,3,2,5,6,1,10,3,2,3,5,9,4,4
"ENSMUSG00000081530.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038368.16",1900,1904,4098,3831,3249,3327,2799,1906,3286,2093,2464,886,1691,2586,1157,1037,2188,2151,1033,909
"ENSMUSG00000070077.2",5,8,17,1,10,3,8,0,5,2,2,0,0,0,2,0,0,0,0,1
"ENSMUSG00000082597.1",1,3,1,1,5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028497.12",111,178,295,186,247,213,175,148,217,107,188,53,106,164,66,82,113,135,70,63
"ENSMUSG00000048806.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000096011.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095896.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080964.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095270.1",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0
"ENSMUSG00000078480.3",29,27,26,51,26,34,31,38,33,4,7,4,6,9,11,8,3,4,9,15
"ENSMUSG00000073811.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083958.1",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038330.10",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063376.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081784.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078355.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078354.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100079.1",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000081893.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084192.1",1,5,0,5,2,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070923.4",2269,2123,4675,3947,4179,4119,4347,3284,4577,3247,3835,1420,2721,3715,1943,1649,3286,3781,1752,1524
"ENSMUSG00000097078.1",1,1,1,0,0,1,2,1,2,2,3,0,3,1,0,3,5,1,0,0
"ENSMUSG00000086074.1",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094618.1",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085473.2",1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000081501.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073809.1",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000100505.1",6,1,0,4,1,2,3,0,2,2,1,2,2,0,0,0,1,1,2,0
"ENSMUSG00000094498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082789.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073807.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094271.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094167.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096582.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096591.1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096854.1",0,0,2,0,2,1,3,1,3,0,0,0,0,2,0,0,0,1,0,0
"ENSMUSG00000096987.1",1,0,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000099545.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100234.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101163.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099518.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097873.1",0,2,5,3,1,4,1,1,0,0,1,0,0,0,0,0,0,1,1,0
"ENSMUSG00000099420.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095101.2",0,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094648.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070908.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
